2022-06-23 15:58:16.916  INFO 26303 --- [nio-8099-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-23 15:58:16.917  INFO 26303 --- [nio-8099-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2022-06-23 15:58:16.925  INFO 26303 --- [nio-8099-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 8 ms
2022-06-23 16:04:04.989  INFO 26303 --- [io-8099-exec-23] o.h.i.s.impl.ImportDataServiceImpl       : >>>>>>>>>>> begin create database : hzero_platform
2022-06-23 16:04:05.097  INFO 26303 --- [io-8099-exec-23] o.h.i.s.impl.ImportDataServiceImpl       : hzero_platform<<<<<<<<<<< The automatic database creation was successful
2022-06-23 16:04:05.097  INFO 26303 --- [io-8099-exec-23] o.h.i.s.impl.ImportDataServiceImpl       : >>>>>>>>>>> begin create database : hzero_admin
2022-06-23 16:04:05.116  INFO 26303 --- [io-8099-exec-23] o.h.i.s.impl.ImportDataServiceImpl       : hzero_admin<<<<<<<<<<< The automatic database creation was successful
2022-06-23 16:04:05.117  INFO 26303 --- [io-8099-exec-23] o.h.i.s.impl.ImportDataServiceImpl       : >>>>>>>>>>> begin create database : hzero_file
2022-06-23 16:04:05.207  INFO 26303 --- [io-8099-exec-23] o.h.i.s.impl.ImportDataServiceImpl       : hzero_file<<<<<<<<<<< The automatic database creation was successful
2022-06-23 16:04:05.208  INFO 26303 --- [io-8099-exec-23] o.h.i.s.impl.ImportDataServiceImpl       : >>>>>>>>>>> begin create database : hzero_message
2022-06-23 16:04:05.217  INFO 26303 --- [io-8099-exec-23] o.h.i.s.impl.ImportDataServiceImpl       : hzero_message<<<<<<<<<<< The automatic database creation was successful
2022-06-23 16:04:05.217  INFO 26303 --- [io-8099-exec-23] o.h.i.s.impl.ImportDataServiceImpl       : >>>>>>>>>>> begin create database : hzero_scheduler
2022-06-23 16:04:05.238  INFO 26303 --- [io-8099-exec-23] o.h.i.s.impl.ImportDataServiceImpl       : hzero_scheduler<<<<<<<<<<< The automatic database creation was successful
2022-06-23 16:04:05.238  INFO 26303 --- [io-8099-exec-23] o.h.i.s.impl.ImportDataServiceImpl       : >>>>>>>>>>> begin create database : hzero_import
2022-06-23 16:04:05.249  INFO 26303 --- [io-8099-exec-23] o.h.i.s.impl.ImportDataServiceImpl       : hzero_import<<<<<<<<<<< The automatic database creation
was successful
2022-06-23 16:04:05.249  INFO 26303 --- [io-8099-exec-23] o.h.i.s.impl.ImportDataServiceImpl       : >>>>>>>>>>> begin create database : hzero_report
2022-06-23 16:04:05.258  INFO 26303 --- [io-8099-exec-23] o.h.i.s.impl.ImportDataServiceImpl       : hzero_report<<<<<<<<<<< The automatic database creation
was successful
2022-06-23 16:04:05.259  INFO 26303 --- [io-8099-exec-23] o.h.i.s.impl.ImportDataServiceImpl       : >>>>>>>>>>>>>>>>>>>>>>>>>>>> start : service=hzero-platform, schema=hzero_platform <<<<<<<<<<<<<<<<<<<<<<<<<<<<<
INFO 6/23/22, 4:04 PM: liquibase: Clearing database change log checksums
INFO 6/23/22, 4:04 PM: liquibase: Successfully acquired change log lock
INFO 6/23/22, 4:04 PM: liquibase: Creating database history table with name: hzero_platform.DATABASECHANGELOG
INFO 6/23/22, 4:04 PM: liquibase: Successfully released change log lock
INFO 6/23/22, 4:04 PM: liquibase: Successfully acquired change log lock
INFO 6/23/22, 4:04 PM: liquibase: Reading from hzero_platform.DATABASECHANGELOG
INFO 6/23/22, 4:04 PM: liquibase: classpath:config/db/himp_tables.xml: classpath:config/db/himp_tables.xml::2019-04-11-himp_tables::hzero@hand-china.com: Table himp_data created
INFO 6/23/22, 4:04 PM: liquibase: classpath:config/db/himp_tables.xml: classpath:config/db/himp_tables.xml::2019-04-11-himp_tables::hzero@hand-china.com: Table himp_import created
INFO 6/23/22, 4:04 PM: liquibase: classpath:config/db/himp_tables.xml: classpath:config/db/himp_tables.xml::2019-04-11-himp_tables::hzero@hand-china.com: Table himp_local_template created
INFO 6/23/22, 4:04 PM: liquibase: classpath:config/db/himp_tables.xml: classpath:config/db/himp_tables.xml::2019-04-11-himp_tables::hzero@hand-china.com: ChangeSet classpath:config/db/himp_tables.xml::2019-04-11-himp_tables::hzero@hand-china.com ran successfully in 123ms
INFO 6/23/22, 4:04 PM: liquibase: classpath:config/db/himp_tables.xml: classpath:config/db/himp_tables.xml::2019-08-12-himp_tables::hzero@hand-china.com: Columns template_code(varchar(30)) added to himp_import
INFO 6/23/22, 4:04 PM: liquibase: classpath:config/db/himp_tables.xml: classpath:config/db/himp_tables.xml::2019-08-12-himp_tables::hzero@hand-china.com: Columns tenant_id(bigint(20)) added to himp_import
INFO 6/23/22, 4:04 PM: liquibase: classpath:config/db/himp_tables.xml: classpath:config/db/himp_tables.xml::2019-08-12-himp_tables::hzero@hand-china.com: Columns param(longtext) added to himp_import
INFO 6/23/22, 4:04 PM: liquibase: classpath:config/db/himp_tables.xml: classpath:config/db/himp_tables.xml::2019-08-12-himp_tables::hzero@hand-china.com: ChangeSet classpath:config/db/himp_tables.xml::2019-08-12-himp_tables::hzero@hand-china.com ran successfully in 274ms
INFO 6/23/22, 4:04 PM: liquibase: classpath:config/db/himp_tables.xml: classpath:config/db/himp_tables.xml::2019-12-19-himp_data::hzero@hand-china.com: Columns back_info(longtext) added to himp_data
INFO 6/23/22, 4:04 PM: liquibase: classpath:config/db/himp_tables.xml: classpath:config/db/himp_tables.xml::2019-12-19-himp_data::hzero@hand-china.com: ChangeSet classpath:config/db/himp_tables.xml::2019-12-19-himp_data::hzero@hand-china.com ran successfully in 57ms
INFO 6/23/22, 4:04 PM: liquibase: classpath:config/db/himp_tables.xml: classpath:config/db/himp_tables.xml::2020-01-06-himp_data::hzero@hand-china.com: himp_data.batch datatype was changed to varchar(120)
INFO 6/23/22, 4:04 PM: liquibase: classpath:config/db/himp_tables.xml: classpath:config/db/himp_tables.xml::2020-01-06-himp_data::hzero@hand-china.com: ChangeSet classpath:config/db/himp_tables.xml::2020-01-06-himp_data::hzero@hand-china.com ran successfully in 156ms
INFO 6/23/22, 4:04 PM: liquibase: classpath:config/db/himp_tables.xml: classpath:config/db/himp_tables.xml::2020-01-06-himp_import::hzero@hand-china.com: himp_import.batch datatype was changed to varchar(120)
